Product,Length,Material,Price
4x4,8,Cedar,43.2
4x4,9,Cedar,48.6
4x4,10,Cedar,54
4x4,11,Cedar,59.4
4x4,12,Cedar,64.8
4x4,13,Cedar,70.2
4x4,14,Cedar,75.6
6x6,8,Cedar,116.84
6x6,9,Cedar,131.45
6x6,10,Cedar,146.05
6x6,11,Cedar,160.66
6x6,12,Cedar,175.26
6x6,13,Cedar,189.87
6x6,14,Cedar,204.47
6x6,15,Cedar,219.08
6x6,16,Cedar,233.68
6x6,17,Cedar,248.29
6x6,18,Cedar,262.89
2x2,6,Cedar,11.25
2x2,8,Cedar,15
2x2,9,Cedar,16.88
2x2,10,Cedar,18.75
2x2,11,Cedar,20.63
2x2,12,Cedar,22.5
2x4,6,Cedar,12.6
2x4,7,Cedar,14.7
2x4,8,Cedar,16.8
2x4,10,Cedar,21
2x4,11,Cedar,23.1
2x4,12,Cedar,25.2
2x4,14,Cedar,29.4
2x6,6,Cedar,21.6
2x6,7,Cedar,25.2
2x6,8,Cedar,28.8
2x6,9,Cedar,32.4
2x6,10,Cedar,36
2x6,11,Cedar,39.6
2x6,12,Cedar,43.2
2x6,13,Cedar,46.8
2x6,14,Cedar,50.4
2x6,15,Cedar,54
2x6,16,Cedar,57.6
2x8,6,Cedar,36
2x8,7,Cedar,42
2x8,8,Cedar,48
2x8,9,Cedar,54
2x8,10,Cedar,60
2x8,11,Cedar,66
2x8,12,Cedar,72
2x8,13,Cedar,78
2x8,14,Cedar,84
2x8,15,Cedar,90
2x8,16,Cedar,96
2x10,8,Cedar,63.7
2x10,9,Cedar,71.66
2x10,10,Cedar,79.63
2x10,11,Cedar,87.59
2x10,12,Cedar,95.55
2x10,13,Cedar,103.51
2x10,14,Cedar,111.48
2x10,15,Cedar,119.44
2x10,16,Cedar,127.4
1x6,5,Cedar,8.63
1x6,6,Cedar,10.35
1x6,7,Cedar,12.08
1x6,8,Cedar,13.8
1x6,9,Cedar,15.53
1x6,10,Cedar,17.25,
5/4x6,5,Cedar,12.75
5/4x6,6,Cedar,15.3
5/4x6,7,Cedar,17.85
5/4x6,8,Cedar,20.4
5/4x6,9,Cedar,22.95
5/4x6,10,Cedar,25.5
5/4x6,11,Cedar,28.05
5/4x6,12,Cedar,30.6
5/4x6,13,Cedar,33.15
5/4x6,14,Cedar,35.7
5/4x6,15,Cedar,38.25
5/4x6,16,Cedar,40.8
